Visitas;VI;CRM Comercial
Mapas definidos de Visitas, Cabeçalhos;VIDEFC;CRM Comercial
Mapas definidos de Visitas, Linhas;VIDEFL;CRM Comercial
Mapas desenhados de Visitas, Cabeçalhos;VIMDC;CRM Comercial
Mapas desenhados de Visitas, Linhas;VIMDL;CRM Comercial
Mapas desenhados de Visitas, Linhas (Modo;VIMDTXT;CRM Comercial
Mapas de Etiquetas de Visitas, Cabeçalhos;VILBLMDC;CRM Comercial
Mapas de Etiquetas de Visitas, Linhas;VILBLMDL;CRM Comercial
Impressão de registo de Visitas, Cabeçalhos;VIIMC;CRM Comercial
Impressão de registo de Visitas, Linhas;VIIML;CRM Comercial
Impressão de registo de Visitas, Linhas (Modo;VIIMTXT;CRM Comercial
Ficheiro de filtro de Visitas;FLTVI;CRM Comercial
Ficheiro de linhas de filtro de Visitas;LIFLTVI;CRM Comercial
Negócios;NG;CRM Comercial
Mapas definidos de Negócios, Cabeçalhos;NGDEFC;CRM Comercial
Mapas definidos de Negócios, Linhas;NGDEFL;CRM Comercial
Mapas desenhados de Negócios, Cabeçalhos;NGMDC;CRM Comercial
Mapas desenhados de Negócios, Linhas;NGMDL;CRM Comercial
Mapas desenhados de Negócios, Linhas;NGMDTXT;CRM Comercial
Mapas de Etiquetas de Negócios, Cabeçalhos;NGLBLMDC;CRM Comercial
Mapas de Etiquetas de Negócios, Linhas;NGLBLMDL;CRM Comercial
Impressão de registo de Negócios,;NGIMC;CRM Comercial
Impressão de registo de Negócios, Linhas;NGIML;CRM Comercial
Impressão de registo de Negócios, Linhas;NGIMTXT;CRM Comercial
Ficheiro de filtro de Negócios;FLTNG;CRM Comercial
Ficheiro de linhas de filtro de Negócios;LIFLTNG;CRM Comercial
Status de negócios;NGSTATUS;CRM Comercial
Mapas definidos de Status de negócios,;NGSTATUSDEFC;CRM Comercial
Mapas definidos de Status de negócios, Linhas;NGSTATUSDEFL;CRM Comercial
Mapas desenhados de Status de negócios,;NGSTATUSMDC;CRM Comercial
Mapas desenhados de Status de negócios,;NGSTATUSMDL;CRM Comercial
Mapas desenhados de Status de negócios,;NGSTATUSMDTXT;CRM Comercial
Mapas de Etiquetas de Status de negócios,;NGSTATUSLBLMD;CRM Comercial
Mapas de Etiquetas de Status de negócios,;NGSTATUSLBLMD;CRM Comercial
Impressão de registo de Status de negócios,;NGSTATUSIMC;CRM Comercial
Impressão de registo de Status de negócios,;NGSTATUSIML;CRM Comercial
Impressão de registo de Status de negócios,;NGSTATUSIMTXT;CRM Comercial
Ficheiro de filtro de Status de negócios;FLTNGSTATUS;CRM Comercial
Ficheiro de linhas de filtro de Status de;LIFLTNGSTATUS;CRM Comercial
Eventos de CRM;CEV;CRM Comercial
Mapas definidos de Eventos de CRM,;CEVDEFC;CRM Comercial
Mapas definidos de Eventos de CRM, Linhas;CEVDEFL;CRM Comercial
Impressões definidas de Eventos de CRM,;CEVIDUC;CRM Comercial
Impressões definidas de Eventos de CRM,;CEVIDUL;CRM Comercial
Impressões definidas de Eventos de CRM,;CEVIDUTXT;CRM Comercial
Mapas desenhados de Eventos de CRM,;CEVMDC;CRM Comercial
Mapas desenhados de Eventos de CRM,;CEVMDL;CRM Comercial
Mapas desenhados de Eventos de CRM,;CEVMDTXT;CRM Comercial
