Ref_;Prec_;;;
'104.003.0006;848,7;;;
'104.003.0007;2078,7;;;
'104.003.0008;1586,7;;;
'104.003.0009;1955,7;;;
'104.003.0010;1990;;;
'104.003.0011;2490;;;
'104.003.0012;3431,7;;;
'104.003.0013;1955,7;;;
'104.003.0014;1340,7;;;
'104.003.0015;3185,7;;;
'104.003.0016;430,5;;;
'104.003.0017;553,5;;;
'104.003.0018;307,5;;;
'104.003.0019;848,7;;;
'104.003.0020;602,7;;;
'104.003.0021;430,5;;;
'104.003.0022;307,5;;;
'104.002.0004;;;;
'104.002.0005;;;;
'104.002.0006;;;;
'104.002.0007;356,7;;;
'104.002.0008;356,7;;;
'104.002.0009;356,7;;;
'104.002.0010;356,7;;;
'104.002.0011;356,7;;;
'104.002.0012;356,7;;;
'104.002.0013;356,7;;;
'104.002.0014;;;;
'104.002.0015;479,7;;;
'104.002.0016;479,7;;;
'104.002.0017;479,7;;;
'104.002.0018;479,7;;;
'104.002.0019;479,7;;;
'104.002.0020;479,7;;;
'104.002.0021;479,7;;;
'104.002.0022;;;;
'104.002.0023;184,5;;;
'104.002.0024;;;;
'104.002.0025;381,3;;;
'104.002.0026;;;;
'104.002.0027;;;;
'104.002.0028;;;;
'104.002.0029;;;;
'104.002.0030;;;;
'104.002.0031;;;;
'104.002.0032;356,7;;;
'104.002.0033;;;;
'104.002.0034;;;;
'104.002.0035;;;;
'104.002.0036;;;;
'104.002.0037;;;;
'104.003.0001;0;;;
'104.003.0002;258,3;;;
'104.003.0003;2078,7;;;
'104.003.0004;2201,7;;;
'104.003.0005;725,7;;;
'104.003.0023;1340,7;;;
'104.003.0024;1832,7;;;
'104.003.0025;971,7;;;
'104.003.0026;971,7;;;
'104.003.0027;848,7;;;
'104.003.0028;356,7;;;
'104.003.0029;2078,7;;;
'104.003.0030;270,6;;;
'104.003.0031;602,7;;;
'104.003.0032;971,7;;;
'104.003.0033;479,7;;;
'104.003.0034;307,5;;;
'104.003.0035;479,7;;;
'104.003.0036;0;;;
'104.003.0037;680,19;;;
'104.003.0038;1094,7;;;
'104.003.0039;307,5;;;
'104.003.0040;553,5;;;
'104.003.0041;369;;;
'104.003.0042;615;;;
'104.003.0043;1094,7;;;
'104.004.0001;1955,7;;;
'104.004.0002;3800,7;;;
'104.004.0003;3185,7;;;
'104.004.0004;2447,7;;;
'104.004.0005;1340,7;;;
'104.004.0006;615;;;
'104.004.0007;4046,7;;;
'104.005.0001;1094,7;;;
'104.005.0002;1217,7;;;
'104.006.0001;442,8;;;
'104.006.0002;;;;
'104.006.0003;184,5;;;
'104.006.0004;61,5;;;
'104.006.0005;282,9;;;
'104.006.0006;282,9;;;
'104.006.0007;61,5;;;
'104.006.0008;172,2;;;
'104.006.0009;393,6;;;
'104.006.0010;381,3;;;
'104.006.0011;381,3;;;
'104.007.0001;307,5;;;
'104.007.0002;356,7;;;
'104.007.0003;1094,7;;;
'104.007.0004;393,6;;;
'104.007.0005;479,7;;;
'104.007.0006;725,7;;;
'104.007.0007;393,6;;;
'104.007.0008;971,7;;;
'104.007.0009;479,7;;;
'104.007.0010;553,5;;;
'104.007.0011;971,7;;;
'104.007.0012;553,5;;;
'104.007.0013;430,5;;;
'104.007.0014;365,925;;;
'104.007.0015;4784,7;;;
'104.007.0016;516,6;;;
'104.007.0017;516,6;;;
'104.007.0018;553,5;;;
'104.007.0019;356,7;;;
'104.007.0020;479,7;;;
'104.007.0021;676,5;;;
